Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,7325.000000,7350.000000,7125.000000,7150.000000,7150.000000,42585100
2019-05-10,7200.000000,7225.000000,7075.000000,7175.000000,7175.000000,37086400
2019-05-13,7100.000000,7150.000000,6975.000000,7025.000000,7025.000000,26992400
2019-05-14,6900.000000,7050.000000,6825.000000,7000.000000,7000.000000,47782200
2019-05-15,7075.000000,7075.000000,6875.000000,6950.000000,6950.000000,30786000
2019-05-16,6900.000000,6950.000000,6725.000000,6775.000000,6775.000000,47245500
2019-05-17,6900.000000,6925.000000,6700.000000,6700.000000,6700.000000,25102800
2019-05-20,6650.000000,6925.000000,6625.000000,6900.000000,6900.000000,28865800
2019-05-21,6925.000000,7050.000000,6925.000000,7000.000000,7000.000000,35020100
2019-05-22,7000.000000,7025.000000,6850.000000,7000.000000,7000.000000,22967500
2019-05-23,7000.000000,7125.000000,6975.000000,7100.000000,7100.000000,26460200
2019-05-24,7125.000000,7200.000000,7050.000000,7175.000000,7175.000000,22372000
2019-05-27,7175.000000,7225.000000,7100.000000,7125.000000,7125.000000,20859100
2019-05-28,7200.000000,7200.000000,7050.000000,7075.000000,7075.000000,77066000
2019-05-29,7075.000000,7275.000000,7050.000000,7200.000000,7200.000000,28805600
2019-05-30,7200.000000,7200.000000,7200.000000,7200.000000,7200.000000,0
2019-05-31,7250.000000,7450.000000,7175.000000,7450.000000,7450.000000,46478800
2019-06-03,7450.000000,7450.000000,7450.000000,7450.000000,7450.000000,0
2019-06-04,7450.000000,7450.000000,7450.000000,7450.000000,7450.000000,0
2019-06-05,7450.000000,7450.000000,7450.000000,7450.000000,7450.000000,0
2019-06-06,7450.000000,7450.000000,7450.000000,7450.000000,7450.000000,0
2019-06-07,7450.000000,7450.000000,7450.000000,7450.000000,7450.000000,0
2019-06-10,7575.000000,7700.000000,7550.000000,7675.000000,7675.000000,50332200
2019-06-11,7525.000000,7675.000000,7450.000000,7625.000000,7625.000000,37387000
2019-06-12,7500.000000,7575.000000,7450.000000,7500.000000,7500.000000,27570300
2019-06-13,7450.000000,7525.000000,7375.000000,7500.000000,7500.000000,33860400
2019-06-14,7500.000000,7575.000000,7400.000000,7425.000000,7425.000000,28282900
2019-06-17,7425.000000,7450.000000,7375.000000,7375.000000,7375.000000,11239700
2019-06-18,7425.000000,7500.000000,7400.000000,7500.000000,7500.000000,17393200
2019-06-19,7550.000000,7650.000000,7550.000000,7650.000000,7650.000000,31520000
2019-06-20,7575.000000,7625.000000,7500.000000,7600.000000,7600.000000,26961500
2019-06-21,7625.000000,7625.000000,7350.000000,7450.000000,7450.000000,72597200
2019-06-24,7375.000000,7450.000000,7300.000000,7350.000000,7350.000000,23779400
2019-06-25,7275.000000,7400.000000,7275.000000,7350.000000,7350.000000,23606900
2019-06-26,7375.000000,7375.000000,7225.000000,7250.000000,7250.000000,20215500
2019-06-27,7250.000000,7425.000000,7250.000000,7375.000000,7375.000000,24916300
